Game,Developer,Publisher,Type,Score,Raw Text,Processed Tokens,Processed Text,Numeric_Score,Sentiment Score,Sentiment Category,Sentiment_story_narrative,Sentiment_characters_world,Sentiment_visuals_art,Sentiment_audio_music,Sentiment_gameplay_mechanics,Sentiment_controls_camera,Sentiment_difficulty_balance,Sentiment_performance_bugs,Sentiment_ui_qol,Sentiment_content_replay,Sentiment_multiplayer_online,Sentiment_monetization_value
Evil Dead: Hail to the King,Heavy Iron Studios,THQ,Critic,40.0,"While there are a few interesting spots and plot points, Evil Dead the game has managed to turn one of the most original and entertaining of all B-horror-film franchises into nothing more than a boring, uninspired, and pedestrian attempt to cash in on a license. ","['interesting', 'spot', 'plot', 'point', 'game', 'managed', 'turn', 'one', 'original', 'entertaining', 'franchise', 'nothing', 'boring', 'uninspired', 'pedestrian', 'attempt', 'cash', 'license']",interesting spot plot point game managed turn one original entertaining franchise nothing boring uninspired pedestrian attempt cash license,40.0,0.6987,Positive,0.6987,,,0.6987,,,,,,,,
Evil Dead: Hail to the King,Heavy Iron Studios,THQ,Critic,66.0,"If you're bored, though, at least go out and rent Evil Dead: Hail To The King. Otherwise, there's really no need for you to return to the cabin in the woods.","['bored', 'though', 'least', 'go', 'rent', 'otherwise', 'really', 'need', 'return', 'cabin', 'wood']",bored though least go rent otherwise really need return cabin wood,66.0,-0.8268,Negative,,,,,,,,,,,,
Evil Dead: Hail to the King,Heavy Iron Studios,THQ,Critic,60.0,"I really wanted to recommend this game, despite it's problems with controls and graphics I would still have recommended it to fans of the genre and 'Evil Dead' movies, however because of the length all I can say is rent it out some time.","['really', 'wanted', 'recommend', 'game', 'despite', 'problem', 'control', 'graphic', 'would', 'still', 'recommended', 'fan', 'genre', 'movie', 'however', 'length', 'say', 'rent', 'time']",really wanted recommend game despite problem control graphic would still recommended fan genre movie however length say rent time,60.0,0.1082,Positive,,,0.1082,,,0.1082,,,,0.1082,,
Evil Dead: Hail to the King,Heavy Iron Studios,THQ,Critic,70.0,"A bitter pill to swallow. Still, you could waste an afternoon or two on this and still find yourself fairly amazed with some of the puzzle elements, the hunt for horror exploration aspect, and all the chainsaw-ripping, zombie-blasting gore. ","['bitter', 'pill', 'swallow', 'still', 'could', 'waste', 'afternoon', 'two', 'still', 'find', 'fairly', 'amazed', 'puzzle', 'element', 'hunt', 'horror', 'exploration', 'aspect', 'gore']",bitter pill swallow still could waste afternoon two still find fairly amazed puzzle element hunt horror exploration aspect gore,70.0,0.0,Neutral,,,,,0.4215,,,,,,0.4215,
Evil Dead: Hail to the King,Heavy Iron Studios,THQ,Critic,60.0,"Hit-or-miss, mushy controls mean you're dead more often than not even though combat with Deadites is a simple button-smashing slugfest. ","['mushy', 'control', 'mean', 'often', 'even', 'though', 'combat', 'deadites', 'simple', 'slugfest']",mushy control mean often even though combat deadites simple slugfest,60.0,0.0,Neutral,,,,,0.0,0.0,,,,,,
Evil Dead: Hail to the King,Heavy Iron Studios,THQ,User,7.0,First game i owned and played to death on DC never understood the hate for it.,"['first', 'game', 'owned', 'played', 'death', 'dc', 'never', 'understood', 'hate']",first game owned played death dc never understood hate,7.0,-0.2268,Negative,,,,,,,,,,,,
Legends of Pegasus,Novacore Studios,Kalypso,Critic,48.0,"Sadly, technical problems make this game nearly unplayable- it’s like Legends of Pegasus launched half-finished. Somewhere, deep inside, there’s a great game, with an interesting space-opera story, presented like a graphic-novel  but in the end, the worst alien menace in Legends of Pegasus is not the race of X’or or Arthrox but the bugs. And not like the bugs in Starship Troopers [January 2013]","['sadly', 'technical', 'problem', 'make', 'game', 'nearly', 'like', 'launched', 'somewhere', 'deep', 'inside', 'great', 'game', 'interesting', 'story', 'presented', 'like', 'end', 'worst', 'alien', 'menace', 'race', 'x', 'arthrox', 'bug', 'like', 'bug', 'starship', 'trooper', 'january']",sadly technical problem make game nearly like launched somewhere deep inside great game interesting story presented like end worst alien menace race x arthrox bug like bug starship trooper january,48.0,-0.6858,Negative,-0.7992,,-0.7992,,,,-0.53735,-0.53735,,,,
Legends of Pegasus,Novacore Studios,Kalypso,Critic,30.0,Legends of Pegasus game is perfect example of how to turn ambitious projects into something you do want to forget as fast as possible. [Oct 2012],"['game', 'perfect', 'example', 'turn', 'ambitious', 'project', 'something', 'want', 'forget', 'fast', 'possible', 'oct']",game perfect example turn ambitious project something want forget fast possible oct,30.0,0.7351,Positive,,,,,,,,,,,,
Legends of Pegasus,Novacore Studios,Kalypso,Critic,30.0,"An impenetrable mess with almost nothing to recommend it. Cast this one into the void. [Oct 2012, p.73]","['impenetrable', 'mess', 'almost', 'nothing', 'recommend', 'cast', 'one', 'void', 'oct']",impenetrable mess almost nothing recommend cast one void oct,30.0,-0.5181,Negative,,0.0,,-0.25905,,,,,,,,
Legends of Pegasus,Novacore Studios,Kalypso,User,,"I was excited to see a real time space strategy with lots of achievement on steam and pre-ordered the game for the price of an AAA title. Never again. The game was practically unplayable and buggy; the first patches did nothing valuable. Then the developer filed for bankruptcy with no hope from the community side to make this game ever playable. Unfortunately, there was no refund available from my country. The sad thing is that the game was still available for purchase for months after.","['excited', 'see', 'real', 'time', 'space', 'strategy', 'lot', 'achievement', 'steam', 'game', 'price', 'aaa', 'title', 'never', 'game', 'practically', 'unplayable', 'buggy', 'first', 'patch', 'nothing', 'valuable', 'developer', 'filed', 'bankruptcy', 'hope', 'community', 'side', 'make', 'game', 'ever', 'playable', 'unfortunately', 'refund', 'available', 'country', 'sad', 'thing', 'game', 'still', 'available', 'purchase', 'month']",excited see real time space strategy lot achievement steam game price aaa title never game practically unplayable buggy first patch nothing valuable developer filed bankruptcy hope community side make game ever playable unfortunately refund available country sad thing game still available purchase month,,-0.7314,Negative,,,,,,,0.1779,-0.3724,,,0.1779,0.34
