Title,Platform,Release Date,Genre,Developer,Publisher,Metascore,Critic Review Count,User Score,User Review Count,Critic Reviews Data,User Reviews Data
Evil Dead: Hail to the King,"['PlayStation', 'Dreamcast', 'PC']",2000/12/20,Survival,Heavy Iron Studios,THQ,49,15,6.1,8,"[{'score': 40, 'text': 'While there are a few interesting spots and plot points, Evil Dead the game has managed to turn one of the most original and entertaining of all B-horror-film franchises into nothing more than a boring, uninspired, and pedestrian attempt to cash in on a license. '}, {'score': 66, 'text': ""If you're bored, though, at least go out and rent Evil Dead: Hail To The King. Otherwise, there's really no need for you to return to the cabin in the woods.""}, {'score': 60, 'text': ""I really wanted to recommend this game, despite it's problems with controls and graphics I would still have recommended it to fans of the genre and 'Evil Dead' movies, however because of the length all I can say is rent it out some time.""}, {'score': 70, 'text': 'A bitter pill to swallow. Still, you could waste an afternoon or two on this and still find yourself fairly amazed with some of the puzzle elements, the hunt for horror exploration aspect, and all the chainsaw-ripping, zombie-blasting gore. '}, {'score': 60, 'text': ""Hit-or-miss, mushy controls mean you're dead more often than not even though combat with Deadites is a simple button-smashing slugfest. ""}]","[{'score': 7, 'text': 'First game i owned and played to death on DC never understood the hate for it.'}]"
Legends of Pegasus,['PC'],2012/8/10,4X Strategy,Novacore Studios,Kalypso,36,11,1.3,109,"[{'score': 48, 'text': 'Sadly, technical problems make this game nearly unplayable- it?€?s like Legends of Pegasus launched half-finished. Somewhere, deep inside, there?€?s a great game, with an interesting space-opera story, presented like a graphic-novel  but in the end, the worst alien menace in Legends of Pegasus is not the race of X?€?or or Arthrox but the bugs. And not like the bugs in Starship Troopers [January 2013]'}, {'score': 30, 'text': 'Legends of Pegasus game is perfect example of how to turn ambitious projects into something you do want to forget as fast as possible. [Oct 2012]'}, {'score': 30, 'text': 'An impenetrable mess with almost nothing to recommend it. Cast this one into the void. [Oct 2012, p.73]'}]","[{'score': None, 'text': 'I was excited to see a real time space strategy with lots of achievement on steam and pre-ordered the game for the price of an AAA title. Never again. The game was practically unplayable and buggy; the first patches did nothing valuable. Then the developer filed for bankruptcy with no hope from the community side to make this game ever playable. Unfortunately, there was no refund available from my country. The sad thing is that the game was still available for purchase for months after.'}, {'score': None, 'text': ""I'm unsure what happened with LoP. While in development, the game seemed to have decent support. Then, suddenly, Summer of 2012,  It was released in a less-than-playable state with non-existent support. Complaints from people who had paid for the game in good faith were everywhere. Players were discussing how to approach getting their money refunded. In October of 2012 the developers filed for Bankruptcy. I haven't seen a really decent explanation of why LoP was released before it was ready although many claim that's how Kalypso does business. Others say publishers are pushing developers into premature release of their games. Some sites were still taking orders for LoP at the time that Novacore announced its insolvency which is, IMHO, inexcusable. The only reason why some people were spared is bc players posted warnings not to buy the game.   More than a few people reported that they were denied refunds due to game time logged even though they were not able to actually play the game. This calls into question the ethics of charging players for games not yet published. Aren't beta players really assisting developers in identifying problems needing to be solved? Shouldn't there be some kind of reward offered to the people who play pre-release games? How fair is it to charge people who participate in beta testing the full price for the game when they are the ones assuming the risk that the game might flop?""}, {'score': None, 'text': 'DO NOT BUY THIS!!! This game is unfinished, and unplayable! A travesty to the genre!'}]"
Sniper: Art of Victory,['PC'],2008/10/16,FPS,City Interactive,"City Interactive, CI Games",36,7,3.5,33,"[{'score': 30, 'text': ""This leads me onto the AI, of which I'm not sure there actually is any.""}, {'score': 61, 'text': ""For a fiver, it's not too bad - a little different, at least. But that's all. [Sept 2008, p.116]""}, {'score': 40, 'text': 'While Sniper: Art of Victory is superior to its brother in arms, and the sniping mechanic itself is reasonably well implemented, there are still too many flaws here to recommend it.'}]","[{'score': 6, 'text': ""    Sniper Elite,       ,    ,  '  ',     ,             6 ,        ' '   ,       ,     2005,   2008  ,   ,         ,  2-3  (    )    )     .\r\n . ,   ,    ,      ,     ,      4:3,   )\r\n    ,     ,          ,       ,         . (         )\r\n    ,   ,    ,      .\r\n     ?   .""}, {'score': 8, 'text': ' ,    ,   ,  !'}, {'score': 1, 'text': 'Weird movement, weird sniping, a lot of weird things. Only positive is that for CI Games it was a step into direction of Sniper: Ghost Warrior.'}]"
SuperPower,['PC'],2002/3/28,Turn-Based Strategy,GolemLabs,"DreamCatcher Interactive, GMX Media",39,7,3.5,4,"[{'score': 42, 'text': 'Events unfold inexplicably, unrealistically, and almost arbitrarily. [June 2002, p.69]'}, {'score': 20, 'text': ""SuperPower's most entertaining feature is this utter detachment from reality - despite its being touted as hyperrealistic. [July 2002, p.82]""}, {'score': 40, 'text': ""With the bugs fixed and the gameplay tweaked and polished, Superpower could be pretty decent. At the moment, it's disappointing.""}, {'score': 70, 'text': 'The organization of the immense database allows both novices and experts to equally enjoy the challenge.'}, {'score': 42, 'text': ""It's an idea that has been tried before and done better.""}, {'score': 42, 'text': 'Events unfold inexplicably, unrealistically, and almost arbitrarily. [June 2002, p.69]'}]",[]
Unreal Tournament 2004,['PC'],2004/3/16,FPS,Epic Games,"Atari SA, Sold Out Software",93,48,8.6,790,"[{'score': 90, 'text': ""It's a brilliant collage of smooth, polished gameplay, solid netcode, unadulterated diversity, and a frenetic pacing few games can rival.""}, {'score': 95, 'text': 'It may just be the best arcade style online shooter ever made, and it?€?ll likely only be unseated by next year?€?s incarnation.'}, {'score': 94, 'text': 'I wouldn?€?t hesitate to say that it?€?s the best pure online FPS ever made.'}]","[{'score': 10, 'text': '??ocukluum.................................................................'}, {'score': 8, 'text': '    ,   '}, {'score': 10, 'text': 'Give me back these FPSs, where really if you were good, you were REALLY good in this genre. Not like now they do a royal victory on Fortnite or win a game on Warzone and feel like pro gamers... But EpicGames wanted to do the EpicFails by drowning UnrealTournament 2014 by making room for Fortnite...\r\n\r\nGod forgive us\r\nR.I.P UT'}]"
Tekken 8,"['PlayStation 5', 'PC', 'Xbox Series X']",2024/1/26,3D Fighting,Bandai Namco Games,Bandai Namco Games,90,96,7.5,1133,"[{'score': 90, 'text': 'Tekken 8 has not only become a benchmark on next-gen, but on how fighting games must be design for casual and hardcore players.'}, {'score': 90, 'text': ""It remains to be seen whether Bandai Namco's game can achieve what Street Fighter 6 hasn't quite managed, and bring in a new generation of players, but this is the first time in decades that these longtime rivals have felt so well matched. [Issue395, p.114]""}, {'score': 90, 'text': 'In case it hasn?€?t been made abundantly clear by now, Tekken 8 is a must-play for fans of the series, fans of the genre, or even for new players wondering what all the hype is about. It?€?s a standout entry in a phenomenal series, it respects the player?€?s time, and gives them a ton to do, and it?€?s a joy to play. Go get it.'}]","[{'score': 9, 'text': 'This fighter is a solid 8. The pros :sounds tracks from current and all Previous Tekkens. The graphics are sublime. The feels you get when you land your combos perfectly are cherry on top. The numerous 0 rating reviews you see are trash and are disrespectful to the people that spent their time on this earth creating this game. This game deserves atleast an 8 and any game that is rated 8 and up is a must play! Loved tekken tag when I was still a teenager i would play with my dad and it is a fond memory for me. \n\nJust buy it  and play it. Invest time to learning the moves and technicals and enjoy!'}, {'score': 10, 'text': 'tekken 8 is the perfect 3D fighter. we need street fighter and snk games in 3D. best regards.'}, {'score': 9, 'text': ' ,  ,  .    .'}]"
Homeworld,['PC'],1999/8/31,Command RTS,Relic Entertainment,"Sierra Entertainment, Frogster Interactive, Sold Out Software",93,20,8.7,413,"[{'score': 100, 'text': ""Simply one of those titles that makes you say 'Wow.' You'll have to pick your jaw up off the floor when you experience it for the first time. It is a rare gem; an awesome feat of programming, graphical design, and sound production, all wrapped around superb gameplay. It deserves the highest praise.""}, {'score': 90, 'text': 'With its stunning 3D engine, uniquely challenging gameplay in both single- and multiplayer modes, great audio, and terrific story, Homeworld is both an excellent game and one that may well reshape the entire real-time strategy genre.'}, {'score': 91, 'text': 'Not only has control of this environment been handled well, but the smoothness of overall presentation and gameplay seem to reflect an excellence from RTS titles that we should all be looking forward to in the future.'}]","[{'score': 10, 'text': 'Jedna z najlepszych strategi czasu rzeczywistego jak kiedykolwiek zrobiono. Arcydzieo gatunku.'}, {'score': 9, 'text': ""At the time of writing its been roughly 25 years since the original homeworld came out. Its graphics are dated, its controls are clunky, its audio is crunchy. Even with those up front it is still the grandaddy of all space-based RTS games with an appreciable depth to it. A depth that was lost when HW1 was 'Remastered' in homeworld 2's engine.\n\nThe classic version of HW1 gearbox packages with the remastered collection is non-functional on modern machines. A different version will need to be acquired elsewhere.""}, {'score': 10, 'text': 'The most special RTS game in the history of game. Real Revolution RTS better than Starcraft'}]"
Seven Kingdoms: Conquest,['PC'],2007/10/15,Command RTS,"Enlight Software, Infinite Interactive","Enlight Software, DreamCatcher Interactive, JoWooD Entertainment AG",38,14,4.9,7,"[{'score': 40, 'text': 'It?€?s simply unacceptable for a retail game to have a major component of gameplay be as broken as Seven Kingdoms?€? pathfinding and unit AI.'}, {'score': 30, 'text': 'Believe me, Seven Kingdoms Conquest is a wreck you want to avoid.'}, {'score': 68, 'text': 'When you get down to it, Conquest feels more like a cousin to the series than a true follow-up. It certainly leans towards the traditional side of the genre with more of an emphasis on battle than on construction and micromanagement.'}, {'score': 68, 'text': 'When you get down to it, Conquest feels more like a cousin to the series than a true follow-up. It certainly leans towards the traditional side of the genre with more of an emphasis on battle than on construction and micromanagement.'}, {'score': 55, 'text': 'The gameplay is extremely basic and somewhat boring. Build up an army, go fight, go to the next level. And so on.'}]","[{'score': None, 'text': ""Play Seven kingdoms AA (1998) then you will understand why this game deserves 0\r\n\r\n??m still playing skaa at 2015 but this game is totally garbage it's nothing near old seven kingdom games so dont buy dont make this mistake""}]"
The Witcher 3: Wild Hunt,"['PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']",2015/5/19,Action RPG,CD Projekt Red Studio,"Warner Bros. Interactive Entertainment, CD Projekt, Spike Chunsoft, Bandai Namco Games, CD Projekt Red Studio",92,79,9.1,18534,"[{'score': -1, 'text': 'Wild Hunt is viciously hostile. Hostility infects every element like a poison and unites them with a common sickness.'}, {'score': 100, 'text': 'The conclusion of Geralt?€?s game saga couldn?€?t be better. The large open world, great storytelling and dozens of hours of pure fun ?€? this game is an absolute must for every RPG fan. [Issue253]'}, {'score': 95, 'text': 'This truly outstanding game raises the bar to new heights that will be extremely hard to reach for BioWare, Bethesda and any other developer. [07/2015, p.38]'}]","[{'score': 10, 'text': ""For me, it is one of the best games in the entire history. The story is really addictive, the graphical quality is really impressive for the time it was made. The quests are really cool, and it was be really fun to me to play the game. You control A Witcher that lives in a place named the continent, and that needs to kill monsters, bosses, explore the world, finding new people,explore the incredible scenarios, and just be amazed. Just buy the game, it definitely worth it in **** witcher 3 is my favorite game. If you never played it it's good to try.""}, {'score': 9, 'text': 'This game is fire. You?€?ve got to play it. The story, the characters, the world and the quests... \nEverything is amazing.'}, {'score': 10, 'text': 'Very few games hold a candle to Witcher 3. I remember loading this up a decade ago and have the best time of my life, and to be met with an amazing dlc the size of the original game? peak'}]"
Call of Duty 4: Modern Warfare,"['Xbox 360', 'PlayStation 3', 'PC', 'DS', 'Wii']",2007/11/5,FPS,Infinity Ward,"Activision, Square Enix",94,70,8.5,2560,"[{'score': 100, 'text': 'Simply put, Call of Duty 4 does everything right and nearly nothing wrong. But where it elevates itself above even the best 360 shooters is how all of the good stuff is ludicrously good. The campaign never lets up, while multiplayer is a triple-A affair in itself.  [Dec 2007, p.36]'}, {'score': 90, 'text': ""COD4 is cutting-edge entertainment, but the downside to this dense and gripping delivery is that it's over far too quickly: five to six hours on Normal difficulty...COD4 is short but immensely satisfying and we can't wait for a post-modern revival. [Dec 2007, p.73]""}, {'score': 94, 'text': ""Though the single-player lacks length, the multiplayer should keep you invested in COD4 for the long winter. This is a truly fantastic multiplayer offering that's as deep as any other online game available.""}]","[{'score': 9, 'text': 'I may be viewing this through the lens of rose-tinted nostalgia glasses, but I think this was one of the most incredible games of the mid-2000s, and set the precedent for the vast majority of first-person shooters since. Incredible for the time, but I am unsure if it would be enjoyable almost twenty years later.'}, {'score': 10, 'text': 'Call of Duty 4 Modern Warfare is one of those games that just feels timeless. It campaign is still awesome to play through and one of the repayable games too. Its multiplayer also shines too, with it overall being a fun experience. This is also the game that got me into cod too.'}, {'score': 9, 'text': 'Great story, great mission, and great characters. Love how they tried to brought modern political issues to the game'}]"
