Publisher,Region
"11 bit studios, Merge Games",Multi-region
"11 bit studios, Merge Games, Teyon",Multi-region
"1C Entertainment, Atari SA, Excalibur Publishing",Multi-region
2K Games,North America
"2K Games, Bethesda Softworks, Spike",Multi-region
"2K Games, GameTap, CyberFront, Mastertronic, ak tronic",Multi-region
"2K Games, Spike",Multi-region
"2K Games, Take-Two Interactive",Multi-region
2K Sports,North America
"4PM GAME, Bojan Brbora",Multi-region
505 Games,Europe
AGO Games,Europe
Activision,North America
"Activision, Global Software Publishing (GSP)",Multi-region
"Activision, Square Enix",Multi-region
"Anarchy Enterprises, Tri Synergy",Multi-region
Aspyr,North America
"Aspyr, Enlight Software, Atari SA",Multi-region
"Aspyr, Mastertronic",Multi-region
Atari SA,Europe
"Atari SA, Sold Out Software",Multi-region
Atlus,Japan
"Atlus, Sega",Multi-region
Bad Guitar Studio,China
"BancyCo., Limited Run Games",Multi-region
Bandai Namco Games,Japan
"Bandai Namco Games, From Software",Multi-region
"Bay 12 Games, Kitfox Games",Multi-region
Beat Games s.r.o.,Europe
Bethesda Softworks,North America
"Biart, Strategy First, Overland, Just A Game, Merge Games",Multi-region
Big City Games,North America
Blizzard Entertainment,North America
"Blizzard Entertainment, Activision",Multi-region
Boll AG,Europe
Brain Candy,North America
"Bungie, Eidos Interactive",Multi-region
CD Projekt,Europe
Capcom,Japan
Cardboard Computer,North America
"City Interactive, CI Games",Multi-region
Codemasters,Europe
"Crimson Cow, GamersGate, DreamCatcher Interactive, Strategy First, Ascaron Entertainment",Multi-region
Crunchy Leaf Games,Europe
Cult Games,Europe
D'Avekki Studios Limited,Europe
"DECK13 Spotlight, Deck 13, First Press Games",Multi-region
Daedalic Entertainment,Europe
"Dear Villagers, Plug In Digital",Multi-region
"Deep Silver, Egosoft",Multi-region
Devolver Digital,North America
Digerati Distribution,North America
"DreamCatcher Interactive, Enlight Software",Multi-region
"DreamCatcher Interactive, GMX Media",Multi-region
"DreamCatcher Interactive, N3V Games",Multi-region
E-One Studio,North America
"EA Games, Electronic Arts",Multi-region
"EA Sports, Electronic Arts",Multi-region
Eidos Interactive,North America
"Eidos Interactive, Atari SA",Multi-region
"Eidos Interactive, Sold Out Software, ak tronic",Multi-region
"Eidos Interactive, Square Enix",Multi-region
"Eidos Interactive, Square Enix, Bandai Namco Games",Multi-region
"Eidos Interactive, Square Enix, Spike",Multi-region
Electronic Arts,North America
"Electronic Arts, EA Games",Multi-region
"Electronic Arts, Square EA, Sold Out Software, ak tronic",Multi-region
"Emobi Games, Tradewest",Multi-region
"Encore Software, MediaQuest, JoWooD Entertainment AG, Sold Out Software",Multi-region
"Enlight Software, DreamCatcher Interactive, JoWooD Entertainment AG",Multi-region
"Evolved Games, SouthPeak Games",Multi-region
Fairyship Games,North America
Fellow Traveller,Other
Finji,North America
FireFly Studios,Europe
Fireshine Games,Europe
"Fishing Cactus, Big Fish Games, Plug In Digital",Multi-region
Focus Home Interactive,Europe
