Dimension,Keywords
story_narrative,story;plot;narrative;writing;script;dialogue;dialog;lines;scenario;storyline;ending;twist;pacing;plotline;plotline;storytelling;branching;choice;choices;quests;questline;narration;cutscene;cutscenes;lore
characters_world,character;characters;hero;protagonist;villain;npc;npcs;companion;party;cast;animation;expression;face;faces;model;models;voice;personality;development;backstory;world;worldbuilding;universe;setting;atmosphere;immersion;immersive;environment;environments;city;town;village;dungeon
visuals_art,graphics;graphic;visual;visuals;art;artstyle;style;pixel;pixelart;sprite;sprites;texture;textures;lighting;shadow;shadows;effect;effects;particles;detail;detailed;resolution;hd;4k;animation;animated;environment;environments;scenery;camera;angle;model;models
audio_music,sound;sounds;audio;music;track;tracks;soundtrack;ost;bgm;theme;themes;voice;voices;voiceacting;voice acting;vo;dialogue;dialog;effect;effects;sfx;noise;sound design;mixing
gameplay_mechanics,gameplay;mechanic;mechanics;system;systems;combat;fight;fighting;shooting;gunplay;melee;movement;platforming;jump;dodging;roll;rolling;aim;aiming;cover;stealth;puzzle;puzzles;exploration;explore;progression;grind;grinding;leveling;crafting;build;builds;skill;skills;talent;talents;tree;trees;perks;mechanic
controls_camera,control;controls;handling;responsive;unresponsive;input;keyboard;mouse;controller;gamepad;joystick;mapping;keybind;keybinding;layout;camera;cameras;sensitivity;aim;aiming;movement;clunky;clumsily;smooth;floaty;laggy
difficulty_balance,difficulty;difficult;hard;hardcore;easy;easier;challenge;challenging;punishing;unfair;cheap;balance;balanced;unbalanced;grind;grindy;spike;spikes;learning curve;progression;scaling;overpowered;op;nerf;buff
performance_bugs,bug;bugs;glitch;glitches;crash;crashes;crashing;lag;laggy;stutter;stuttering;freeze;freezes;fps;frame;frames;framerate;performance;optimize;optimized;optimization;load;loading;loadtime;screen;black screen;disconnect;desync;memory leak
ui_qol,ui;hud;interface;menu;menus;inventory;map;minimap;questlog;journal;tooltip;tooltips;tutorial;hint;hints;marker;markers;navigation;quality of life;qol;accessibility;option;options;settings;config;configuration
content_replay,content;contents;mission;missions;quest;quests;sidequest;sidequests;level;levels;stage;stages;map;maps;mode;modes;campaign;singleplayer;story mode;length;short;long;hours;playtime;replay;replayability;variety;grind;endgame;unlock;unlockables
multiplayer_online,multiplayer;online;coop;co-op;pvp;matchmaking;server;servers;ping;latency;lag;disconnect;community;friends;lobby;party;clan;guild
monetization_value,price;cheap;expensive;worth;value;sale;discount;overpriced;microtransaction;microtransactions;mtx;lootbox;lootboxes;dlc;season pass;pass;cash shop;paywall;pay to win;p2w;freemium;grind;currency;cosmetic;skins
