Feature,Coefficient
Region_Dev_Japan,16.815779075827944
Sentiment_gameplay_mechanics,13.654301251638799
Region_Dev_North America,11.04540498539359
Sentiment_audio_music,9.890451764596213
Sentiment_controls_camera,-8.377618661384076
Region_Dev_Other,-8.091754664345086
Sentiment_difficulty_balance,7.24240887557017
Sentiment_story_narrative,7.205893684797241
Type_User,6.048816990939464
Sentiment_performance_bugs,5.969461404749512
Sentiment_characters_world,5.2517674036351245
Sentiment_content_replay,5.204858862062895
Sentiment_monetization_value,4.703953597471258
Sentiment_visuals_art,4.523607009543344
Sentiment_ui_qol,4.288810189046961
Sentiment_multiplayer_online,4.179902574450684
Region_Dev_Multi-region,-3.7924016574363733
Region_Dev_Korea,-1.6990659697765818
Region_Dev_Europe,0.6759743191482791
